date,000001.SH,T.CFE,S0147027
2022-09-28,3045.0668,100.845,385.6
2022-09-29,3041.2046,100.625,389.04
2022-09-30,3024.3905,100.57,391.0
2022-10-10,2974.1454,100.89,393.12
2022-10-11,2979.7926,100.865,392.62
2022-10-12,3025.5055,101.055,392.4
2022-10-13,3016.3561,101.12,392.5
2022-10-14,3071.9868,101.4,392.5
2022-10-17,3084.9423,101.335,392.5
2022-10-18,3080.9574,101.355,390.66
2022-10-19,3044.3777,101.365,389.82
2022-10-20,3035.0504,101.21,388.3
2022-10-21,3038.9291,101.125,385.6
2022-10-24,2977.5554,101.315,389.38
2022-10-25,2976.283,101.19,394.04
2022-10-26,2999.5036,101.395,394.26
2022-10-27,2982.9029,101.54,393.28
2022-10-28,2915.9257,101.65,393.58
2022-10-31,2893.4829,101.77,390.5
2022-11-01,2969.1995,101.59,391.66
2022-11-02,3003.3699,101.525,391.72
2022-11-03,2997.8057,101.535,390.7
2022-11-04,3070.7964,101.39,390.74
2022-11-07,3077.817,101.435,391.5
2022-11-08,3064.4928,101.55,403.42
2022-11-09,3048.1676,101.53,403.42
2022-11-10,3036.1318,101.51,403.42
2022-11-11,3087.2926,101.12,403.42
2022-11-14,3083.4013,100.425,403.42
2022-11-15,3134.0778,100.49,403.42
2022-11-16,3119.9804,100.27,406.74
2022-11-17,3115.4347,99.825,407.28
2022-11-18,3097.2432,99.56,406.82
2022-11-21,3085.0444,99.675,404.74
2022-11-22,3088.9426,99.7,404.16
2022-11-23,3096.9073,99.935,404.2
2022-11-24,3089.3096,100.11,405.82
2022-11-25,3101.6932,99.755,406.9
2022-11-28,3078.5485,99.53,407.46
2022-11-29,3149.7478,99.2,406.1
2022-11-30,3151.3353,99.295,406.08
2022-12-01,3165.4711,99.58,406.66
2022-12-02,3156.1442,99.61,409.44
2022-12-05,3211.8144,99.59,405.44
2022-12-06,3212.5334,99.35,401.32
2022-12-07,3199.6194,99.585,400.74
2022-12-08,3197.3499,99.79,401.64
2022-12-09,3206.9502,99.725,402.78
2022-12-12,3179.0417,99.72,403.1
2022-12-13,3176.3255,99.605,402.9
2022-12-14,3176.5253,100.07,406.2
2022-12-15,3168.6478,99.955,403.8
2022-12-16,3167.8576,99.995,402.9
2022-12-19,3107.115,100.19,405.1
2022-12-20,3073.7659,100.02,405.1
2022-12-21,3068.4105,100.275,408.18
2022-12-22,3054.4313,100.255,408.56
2022-12-23,3045.8664,100.485,406.24
2022-12-26,3065.5626,100.27,406.68
2022-12-27,3095.5678,99.99,408.96
2022-12-28,3087.3997,100.06,408.22
2022-12-29,3073.7016,100.205,409.64
2022-12-30,3089.2579,100.225,409.42
2023-01-03,3116.5119,100.37,413.0
2023-01-04,3123.5164,100.53,411.4
2023-01-05,3155.2162,100.435,412.0
2023-01-06,3157.6365,100.35,409.0
2023-01-09,3176.0845,100.355,411.3
2023-01-10,3169.5072,100.065,411.3
2023-01-11,3161.8376,100.18,414.1
2023-01-12,3163.4509,100.19,419.14
2023-01-13,3195.3059,100.025,419.14
2023-01-16,3227.5916,99.8,419.14
2023-01-17,3224.2448,99.83,417.98
2023-01-18,3224.406,99.785,417.14
2023-01-19,3240.2794,99.85,418.6
2023-01-20,3264.8138,99.695,422.48
2023-01-30,3269.318,100.03,421.72
2023-01-31,3255.6692,100.205,418.34
2023-02-01,3284.9213,100.11,420.48
2023-02-02,3285.6705,100.305,423.8
2023-02-03,3263.4059,100.355,418.86
2023-02-06,3238.6978,100.265,413.36
2023-02-07,3248.094,100.48,411.8
2023-02-08,3232.1063,100.415,411.1
2023-02-09,3270.3826,100.53,412.36
2023-02-10,3260.6734,100.47,410.3
2023-02-13,3284.1599,100.5,415.0
2023-02-14,3293.2825,100.54,412.0
2023-02-15,3280.4919,100.545,411.1
2023-02-16,3249.0295,100.69,412.12
2023-02-17,3224.0243,100.64,411.5
2023-02-20,3290.3383,100.385,413.96
2023-02-21,3306.5236,99.48,413.68
2023-02-22,3291.1477,99.58,413.78
2023-02-23,3287.477,99.605,412.94
2023-02-24,3267.1597,99.715,413.4
